JOB TITLE,INDUSTRY,JOB STATUS,AI IMPACT LEVEL,MEDIAN SALARY (USD),REQUIRED EDUCATION,EXPERIENCE REQUIRED (YEARS),JOB OPENINGS (2024),PROJECTED OPENINGS (2030),REMOTE WORK RATIO (%),AUTOMATION RISK (%),LOCATION,GENDER DIVERSITY (%),OPENING GROWTH (%)
Dietitian,Entertainment,Increasing,Moderate,33387.73,Bachelor's Degree,9.0,3491.0,1614.0,26.8,3.16,China,49.4,-53.77
"Surveyor, land/geomatics",Entertainment,Increasing,High,118986.51,High School,19.0,5870.0,2101.0,97.54,18.82,USA,64.56,-64.21
Industrial/product designer,Entertainment,Decreasing,Moderate,76656.53,PhD,20.0,4169.0,4956.0,12.69,41.95,UK,46.37,18.88
Consulting civil engineer,Entertainment,Decreasing,Moderate,114926.96,Associate Degree,8.0,7640.0,431.0,79.91,85.33,UK,37.62,-94.36
Geophysicist/field seismologist,Entertainment,Increasing,Moderate,113406.42,Associate Degree,13.0,7783.0,4821.0,47.48,81.12,Australia,46.36,-38.06
Quantity surveyor,Entertainment,Increasing,Moderate,90840.9,Bachelor's Degree,2.0,6391.0,8246.0,84.67,48.0,Brazil,71.83,29.03
"Engineer, aeronautical",Entertainment,Decreasing,High,62720.94,Master's Degree,17.0,2821.0,700.0,11.65,68.99,USA,68.59,-75.19
"Engineer, site",Entertainment,Decreasing,Moderate,89782.68,Master's Degree,3.0,4952.0,9030.0,12.74,5.12,USA,79.63,82.35
Clinical biochemist,Entertainment,Decreasing,Moderate,95268.7,High School,20.0,8837.0,2542.0,65.0,61.38,UK,73.56,-71.23
Accounting technician,Entertainment,Increasing,Moderate,103077.21,Master's Degree,18.0,8403.0,2186.0,21.1,33.33,UK,61.13,-73.99
"Engineer, site",Entertainment,Increasing,Low,128793.42,PhD,19.0,8654.0,7314.0,62.32,98.46,India,37.12,-15.48
Midwife,Entertainment,Decreasing,Low,81512.18,Bachelor's Degree,8.0,6852.0,2223.0,83.35,20.17,Brazil,76.91,-67.56
Farm manager,Entertainment,Decreasing,High,73676.91,PhD,2.0,7466.0,124.0,13.13,36.61,Australia,20.1,-98.34
"Scientist, audiological",Entertainment,Increasing,Moderate,113932.83,PhD,15.0,4028.0,9165.0,15.12,40.32,Brazil,37.47,127.53
Mudlogger,Entertainment,Decreasing,Low,118314.4,Master's Degree,20.0,6279.0,1621.0,57.98,37.54,Germany,44.63,-74.18
Clinical cytogeneticist,Entertainment,Increasing,Moderate,109095.91,Master's Degree,12.0,1659.0,9979.0,59.09,33.65,India,56.38,501.51
Set designer,Entertainment,Increasing,Moderate,105691.07,Master's Degree,1.0,4143.0,9077.0,10.51,95.9,Brazil,26.6,119.09
Marketing executive,Entertainment,Increasing,High,144452.41,Bachelor's Degree,15.0,6368.0,4969.0,15.18,95.02,Germany,20.42,-21.97
Water quality scientist,Entertainment,Increasing,Low,39033.7,High School,18.0,1108.0,8316.0,79.1,25.49,Germany,57.39,650.54
"Nurse, learning disability",Entertainment,Increasing,Moderate,73220.95,Bachelor's Degree,15.0,965.0,432.0,70.08,62.82,Australia,48.94,-55.23
"Engineer, chemical",Entertainment,Increasing,High,127560.91,Associate Degree,7.0,7159.0,2774.0,95.06,41.11,Australia,68.56,-61.25
Occupational psychologist,Entertainment,Increasing,Moderate,78177.14,Master's Degree,1.0,2521.0,2841.0,9.1,8.19,USA,66.35,12.69
Theme park manager,Entertainment,Increasing,Moderate,145660.97,Associate Degree,9.0,2766.0,2471.0,86.76,89.94,USA,50.2,-10.67
Environmental health practitioner,Entertainment,Increasing,High,119339.78,PhD,2.0,3801.0,8412.0,69.13,62.72,Brazil,66.88,121.31
Legal executive,Entertainment,Increasing,Low,119799.75,High School,14.0,4765.0,5401.0,49.97,38.51,Brazil,73.62,13.35
"Teacher, primary school",Entertainment,Increasing,High,67042.78,Associate Degree,2.0,5093.0,600.0,84.87,82.46,USA,25.45,-88.22
Seismic interpreter,Entertainment,Decreasing,Low,98060.2,PhD,8.0,5951.0,1719.0,78.67,85.51,Germany,46.99,-71.11
Press sub,Entertainment,Increasing,Moderate,38873.15,Associate Degree,1.0,2171.0,2395.0,67.6,96.19,Brazil,63.07,10.32
Marine scientist,Entertainment,Decreasing,Moderate,86859.62,PhD,19.0,6993.0,8783.0,84.17,91.2,Australia,57.19,25.6
Clinical molecular geneticist,Entertainment,Decreasing,Low,59291.41,Bachelor's Degree,12.0,6416.0,5480.0,2.61,43.43,Australia,44.04,-14.59
"Psychologist, occupational",Entertainment,Increasing,High,114205.38,High School,7.0,9407.0,8385.0,65.1,63.25,Australia,38.58,-10.86
Physiological scientist,Entertainment,Decreasing,Low,41773.94,Master's Degree,0.0,2869.0,9712.0,54.69,60.77,Brazil,28.65,238.52
Higher education lecturer,Entertainment,Increasing,Moderate,67585.81,PhD,5.0,8498.0,2831.0,25.1,18.9,Germany,66.67,-66.69
"Runner, broadcasting/film/video",Entertainment,Decreasing,Low,92348.18,Associate Degree,15.0,8988.0,568.0,80.73,36.25,Germany,42.69,-93.68
Paramedic,Entertainment,Decreasing,High,117080.03,PhD,16.0,276.0,5570.0,91.38,38.4,Canada,70.66,1918.12
Press sub,Entertainment,Increasing,Low,35046.15,Master's Degree,16.0,121.0,2166.0,87.96,72.58,Brazil,75.04,1690.08
Higher education lecturer,Entertainment,Increasing,Moderate,121970.7,Master's Degree,4.0,5650.0,4121.0,27.08,37.68,Australia,35.94,-27.06
"Teacher, early years/pre",Entertainment,Increasing,High,72861.5,Bachelor's Degree,4.0,2196.0,6596.0,37.84,34.98,Germany,65.63,200.36
Patent examiner,Entertainment,Decreasing,Low,114783.47,Master's Degree,6.0,5781.0,8704.0,37.94,65.66,Australia,44.78,50.56
Interior and spatial designer,Entertainment,Increasing,Low,78554.77,PhD,18.0,8485.0,6822.0,9.22,68.89,India,41.19,-19.6
Animal nutritionist,Entertainment,Decreasing,High,115235.26,Master's Degree,12.0,4911.0,6070.0,9.64,45.06,Brazil,73.72,23.6
Regulatory affairs officer,Entertainment,Increasing,Moderate,123637.02,Associate Degree,10.0,7451.0,4652.0,51.97,3.51,USA,59.78,-37.57
"Teacher, secondary school",Entertainment,Decreasing,Moderate,32196.0,Bachelor's Degree,3.0,5769.0,2142.0,72.52,43.54,Germany,20.39,-62.87
"Engineer, technical sales",Entertainment,Increasing,High,147173.63,Associate Degree,0.0,9352.0,9070.0,98.13,8.95,UK,62.52,-3.02
Social worker,Entertainment,Increasing,High,71526.24,PhD,1.0,1322.0,4437.0,71.66,74.3,USA,78.01,235.63
Electronics engineer,Entertainment,Decreasing,High,61195.22,Bachelor's Degree,0.0,1252.0,5752.0,28.03,29.42,Canada,73.12,359.42
Learning mentor,Entertainment,Decreasing,High,92205.75,Associate Degree,14.0,8903.0,8698.0,41.48,82.75,China,73.7,-2.3
Petroleum engineer,Entertainment,Decreasing,Low,79404.98,Associate Degree,8.0,9313.0,6555.0,24.34,65.55,India,53.4,-29.61
"Teacher, English as a foreign language",Entertainment,Decreasing,Low,63825.49,Associate Degree,5.0,8016.0,4221.0,77.65,45.21,Brazil,58.31,-47.34
"Producer, television/film/video",Entertainment,Increasing,Low,87516.61,High School,20.0,228.0,6246.0,40.47,30.59,China,53.87,2639.47
Site engineer,Entertainment,Increasing,Moderate,132277.25,Master's Degree,6.0,3285.0,9159.0,14.5,36.92,Germany,21.4,178.81
Prison officer,Entertainment,Decreasing,Low,88949.0,Master's Degree,0.0,8561.0,1284.0,83.14,57.49,Brazil,48.46,-85.0
Armed forces training and education officer,Entertainment,Increasing,Moderate,148586.18,High School,7.0,2963.0,8484.0,81.92,25.71,Germany,77.13,186.33
Clinical biochemist,Entertainment,Decreasing,Low,59075.31,Bachelor's Degree,9.0,1744.0,6151.0,73.83,28.46,UK,72.53,252.69
Medical laboratory scientific officer,Entertainment,Decreasing,Moderate,58535.67,High School,2.0,1552.0,4411.0,14.55,11.54,Germany,73.71,184.21
"Radiographer, diagnostic",Entertainment,Decreasing,Low,60802.05,Associate Degree,10.0,2528.0,9787.0,14.17,27.78,UK,53.53,287.14
Television floor manager,Entertainment,Decreasing,High,78429.46,Master's Degree,0.0,4933.0,7846.0,52.68,7.76,Australia,66.79,59.05
Fashion designer,Entertainment,Decreasing,Moderate,112009.49,High School,14.0,3059.0,5130.0,58.87,52.68,Germany,30.29,67.7
International aid/development worker,Entertainment,Decreasing,High,101234.89,Associate Degree,9.0,669.0,3900.0,69.66,50.92,Canada,42.06,482.96
Games developer,Entertainment,Decreasing,High,94753.8,Master's Degree,20.0,1007.0,6258.0,98.66,4.17,USA,23.75,521.45
Orthoptist,Entertainment,Increasing,Low,92813.88,Master's Degree,16.0,3635.0,8460.0,28.93,78.6,Germany,62.87,132.74
Visual merchandiser,Entertainment,Increasing,Moderate,133646.65,Bachelor's Degree,6.0,4574.0,9128.0,81.09,75.6,UK,59.54,99.56
Special effects artist,Entertainment,Decreasing,Low,32127.11,Bachelor's Degree,7.0,2355.0,930.0,36.29,93.3,UK,20.82,-60.51
Herbalist,Entertainment,Increasing,Low,107918.42,Bachelor's Degree,12.0,4119.0,5802.0,51.35,16.63,USA,58.68,40.86
"Lighting technician, broadcasting/film/video",Entertainment,Increasing,Moderate,80493.88,PhD,13.0,4048.0,8739.0,59.19,98.47,India,75.66,115.88
"Producer, television/film/video",Entertainment,Increasing,Low,92406.08,High School,8.0,3066.0,9267.0,29.31,86.09,USA,26.16,202.25
Product manager,Entertainment,Increasing,High,124539.58,Associate Degree,16.0,9722.0,5161.0,63.28,9.72,Australia,40.08,-46.91
Insurance claims handler,Entertainment,Decreasing,Low,106269.95,Master's Degree,5.0,3789.0,5254.0,74.47,36.51,Germany,34.36,38.66
Air broker,Entertainment,Increasing,High,52133.3,Bachelor's Degree,1.0,4994.0,3278.0,33.34,42.2,Germany,74.2,-34.36
Cytogeneticist,Entertainment,Increasing,Moderate,93049.19,Master's Degree,4.0,9601.0,9127.0,24.36,90.92,Australia,32.94,-4.94
"Engineer, energy",Entertainment,Decreasing,Moderate,68500.12,PhD,19.0,1658.0,1259.0,0.7,93.52,India,49.32,-24.07
Intelligence analyst,Entertainment,Decreasing,Moderate,84998.12,Associate Degree,5.0,6432.0,4190.0,72.66,8.33,Germany,71.7,-34.86
Fine artist,Entertainment,Decreasing,Moderate,136289.76,PhD,0.0,8330.0,1548.0,98.48,58.44,China,56.38,-81.42
IT trainer,Entertainment,Decreasing,High,147403.69,High School,4.0,6290.0,6315.0,25.02,72.91,Australia,73.3,0.4
"Teacher, secondary school",Entertainment,Increasing,Low,63484.13,Master's Degree,11.0,5852.0,5871.0,9.12,62.33,USA,39.28,0.32
Artist,Entertainment,Increasing,High,73504.17,PhD,13.0,2684.0,2189.0,60.81,23.55,China,54.16,-18.44
Copy,Entertainment,Increasing,Moderate,72140.63,PhD,1.0,9528.0,5411.0,54.03,78.92,UK,75.64,-43.21
Art gallery manager,Entertainment,Decreasing,Moderate,32005.57,Associate Degree,11.0,6391.0,7040.0,48.65,74.25,USA,35.11,10.15
Brewing technologist,Entertainment,Increasing,Low,86408.19,PhD,20.0,6793.0,6713.0,56.17,14.1,Australia,73.7,-1.18
Marketing executive,Entertainment,Increasing,Low,121840.96,Associate Degree,12.0,5252.0,1461.0,50.2,22.62,USA,69.84,-72.18
"Psychologist, counselling",Entertainment,Decreasing,High,129319.27,Master's Degree,13.0,8491.0,1338.0,52.73,53.32,China,49.32,-84.24
"Loss adjuster, chartered",Entertainment,Increasing,High,80709.9,PhD,6.0,1649.0,8207.0,55.47,88.44,Brazil,54.17,397.7
Sub,Entertainment,Decreasing,High,32890.78,Associate Degree,19.0,3193.0,1075.0,85.16,67.89,China,70.75,-66.33
"Scientist, research (physical sciences)",Entertainment,Decreasing,Low,138210.82,Master's Degree,11.0,9858.0,2620.0,14.9,88.29,Australia,42.33,-73.42
Insurance underwriter,Entertainment,Decreasing,Moderate,126186.3,Associate Degree,3.0,934.0,5108.0,72.04,25.82,UK,43.96,446.9
Pharmacologist,Entertainment,Decreasing,Moderate,126414.58,PhD,4.0,3629.0,9938.0,49.84,7.04,Germany,43.4,173.85
"Geologist, engineering",Entertainment,Increasing,High,105713.33,Associate Degree,11.0,5283.0,4783.0,50.51,52.06,Australia,31.95,-9.46
"Civil engineer, consulting",Entertainment,Decreasing,Moderate,135061.06,Associate Degree,3.0,7460.0,6358.0,34.47,12.68,Canada,53.97,-14.77
Leisure centre manager,Entertainment,Decreasing,Moderate,51895.49,Master's Degree,3.0,3609.0,3346.0,53.53,16.73,Canada,40.27,-7.29
Meteorologist,Entertainment,Decreasing,Low,121504.56,Master's Degree,14.0,9602.0,2010.0,28.22,52.73,Canada,56.85,-79.07
Newspaper journalist,Entertainment,Decreasing,High,52877.36,Master's Degree,4.0,2477.0,3605.0,65.76,99.89,Germany,26.78,45.54
Recycling officer,Entertainment,Decreasing,Moderate,53112.23,PhD,14.0,3080.0,1886.0,68.24,71.14,Canada,47.21,-38.77
Chief Operating Officer,Entertainment,Increasing,Low,95689.77,Master's Degree,7.0,6565.0,6008.0,23.84,3.88,Australia,41.89,-8.48
Corporate investment banker,Entertainment,Increasing,Low,103043.2,Bachelor's Degree,8.0,5459.0,347.0,94.95,99.72,India,43.38,-93.64
Theatre stage manager,Entertainment,Decreasing,High,142013.09,Bachelor's Degree,19.0,3221.0,4994.0,96.0,62.45,Brazil,27.38,55.05
Food technologist,Entertainment,Increasing,Moderate,80255.76,Bachelor's Degree,13.0,7261.0,422.0,65.75,14.05,Brazil,22.41,-94.19
Insurance account manager,Entertainment,Decreasing,Moderate,130080.85,Associate Degree,13.0,5420.0,930.0,64.32,8.1,UK,23.64,-82.84
Retail merchandiser,Entertainment,Decreasing,Low,86561.22,Bachelor's Degree,11.0,2086.0,5208.0,84.39,55.43,USA,40.29,149.66
"Scientist, research (life sciences)",Entertainment,Decreasing,Moderate,126847.66,Master's Degree,17.0,3380.0,6124.0,96.87,51.14,India,40.72,81.18
"Teacher, primary school",Entertainment,Decreasing,High,124913.07,PhD,17.0,3324.0,235.0,79.04,50.59,Australia,28.9,-92.93
Race relations officer,Entertainment,Decreasing,Moderate,97157.73,High School,2.0,9208.0,2970.0,91.23,81.16,China,49.7,-67.75
"Scientist, water quality",Entertainment,Increasing,Moderate,52210.86,Bachelor's Degree,18.0,2374.0,3612.0,50.29,16.35,China,37.03,52.15
Mudlogger,Entertainment,Decreasing,Low,97284.41,PhD,11.0,6766.0,6373.0,88.43,40.25,China,31.01,-5.81
Passenger transport manager,Entertainment,Increasing,High,74614.44,Bachelor's Degree,3.0,3063.0,3656.0,55.52,55.09,India,51.47,19.36
General practice doctor,Entertainment,Decreasing,Moderate,146642.79,Associate Degree,1.0,5216.0,5204.0,14.98,36.35,Canada,44.23,-0.23
Equality and diversity officer,Entertainment,Increasing,High,142172.87,PhD,15.0,4508.0,6097.0,70.03,88.77,Germany,31.96,35.25
Multimedia programmer,Entertainment,Increasing,Moderate,123648.31,PhD,20.0,2314.0,1484.0,93.67,77.9,UK,38.08,-35.87
Aid worker,Entertainment,Increasing,Low,74802.25,Bachelor's Degree,14.0,2704.0,9727.0,30.48,4.82,India,52.34,259.73
Community pharmacist,Entertainment,Increasing,High,46349.32,Master's Degree,19.0,9769.0,5021.0,79.68,77.43,Australia,50.39,-48.6
"Civil engineer, consulting",Entertainment,Decreasing,Moderate,82086.14,PhD,12.0,7521.0,2747.0,28.78,49.64,Canada,74.75,-63.48
"Teacher, early years/pre",Entertainment,Increasing,Moderate,118071.45,High School,2.0,4098.0,3102.0,97.18,99.46,Brazil,30.72,-24.3
Naval architect,Entertainment,Increasing,Low,85892.74,Bachelor's Degree,3.0,9675.0,7928.0,10.04,6.57,Australia,62.36,-18.06
Stage manager,Entertainment,Decreasing,High,128069.31,Master's Degree,11.0,2386.0,6001.0,47.93,24.4,India,66.72,151.51
Clothing/textile technologist,Entertainment,Decreasing,High,36784.28,Master's Degree,16.0,6481.0,2602.0,80.58,19.79,China,49.82,-59.85
Dispensing optician,Entertainment,Decreasing,Low,46332.31,PhD,13.0,857.0,1832.0,16.39,94.61,Australia,22.36,113.77
"Pharmacist, hospital",Entertainment,Increasing,Moderate,50800.86,Bachelor's Degree,15.0,8608.0,7396.0,50.96,42.53,Germany,31.79,-14.08
Dietitian,Entertainment,Decreasing,Low,36009.54,PhD,6.0,5054.0,6806.0,54.22,10.06,USA,36.46,34.67
"Sound technician, broadcasting/film/video",Entertainment,Decreasing,Moderate,114450.38,High School,4.0,4583.0,5350.0,47.49,51.46,China,30.44,16.74
"Scientist, clinical (histocompatibility and immunogenetics)",Entertainment,Decreasing,High,52993.76,PhD,20.0,4564.0,8814.0,33.93,69.48,Brazil,57.28,93.12
Product/process development scientist,Entertainment,Decreasing,Moderate,39577.27,Bachelor's Degree,7.0,4544.0,874.0,85.9,17.32,India,62.91,-80.77
Hydrogeologist,Entertainment,Increasing,Moderate,114365.31,Master's Degree,0.0,6800.0,9471.0,51.51,43.18,China,45.05,39.28
"Nurse, adult",Entertainment,Increasing,Low,135424.56,Bachelor's Degree,9.0,7690.0,6049.0,54.99,13.45,UK,41.48,-21.34
"Engineer, structural",Entertainment,Increasing,Low,53826.99,High School,12.0,9182.0,7629.0,28.63,32.54,Canada,24.12,-16.91
Medical secretary,Entertainment,Decreasing,Moderate,71668.08,PhD,13.0,4410.0,4130.0,33.99,7.04,UK,69.28,-6.35
Secretary/administrator,Entertainment,Decreasing,High,131155.0,Associate Degree,6.0,5980.0,6271.0,58.5,9.73,USA,69.76,4.87
Investment analyst,Entertainment,Increasing,High,86397.45,Associate Degree,13.0,1905.0,3564.0,72.46,36.89,UK,30.73,87.09
Chiropractor,Entertainment,Decreasing,Low,124525.58,High School,16.0,4718.0,3523.0,13.03,22.4,Germany,55.31,-25.33
Building surveyor,Entertainment,Decreasing,Low,149013.1,High School,17.0,5271.0,1382.0,72.82,13.99,USA,46.98,-73.78
Visual merchandiser,Entertainment,Increasing,Low,45037.29,High School,7.0,8593.0,9408.0,3.56,98.53,Australia,58.07,9.48
Exhibition designer,Entertainment,Increasing,High,67743.1,Bachelor's Degree,17.0,3633.0,2674.0,96.93,44.71,Brazil,77.06,-26.4
Event organiser,Entertainment,Increasing,Moderate,100801.26,Master's Degree,13.0,6636.0,3143.0,10.79,43.91,Brazil,73.8,-52.64
Clinical biochemist,Entertainment,Decreasing,Moderate,127059.9,Associate Degree,18.0,174.0,5761.0,28.61,41.33,Germany,50.18,3210.92
Textile designer,Entertainment,Increasing,Low,71700.23,PhD,17.0,8368.0,1275.0,31.8,40.76,USA,36.65,-84.76
Ranger/warden,Entertainment,Increasing,Moderate,135886.55,PhD,6.0,6000.0,1197.0,38.44,54.53,UK,31.33,-80.05
Press sub,Entertainment,Decreasing,High,139154.33,Bachelor's Degree,4.0,5165.0,5966.0,45.18,21.91,Brazil,20.66,15.51
"Secretary, company",Entertainment,Decreasing,Moderate,83487.06,Bachelor's Degree,3.0,5674.0,4353.0,38.31,11.73,Germany,67.38,-23.28
"Scientist, audiological",Entertainment,Increasing,Low,60073.05,Master's Degree,6.0,3952.0,7215.0,86.49,69.73,Australia,68.79,82.57
Quarry manager,Entertainment,Increasing,Low,70571.8,Bachelor's Degree,4.0,2593.0,1068.0,72.15,35.9,Germany,65.68,-58.81
"Engineer, civil (contracting)",Entertainment,Increasing,High,52059.89,Bachelor's Degree,15.0,7372.0,4014.0,34.2,50.59,Brazil,69.69,-45.55
"Geologist, wellsite",Entertainment,Decreasing,Moderate,75106.19,Master's Degree,16.0,4598.0,4077.0,51.96,15.63,China,65.91,-11.33
Armed forces operational officer,Entertainment,Decreasing,Low,41551.1,PhD,19.0,7720.0,9890.0,21.17,23.38,Australia,77.19,28.11
"Therapist, sports",Entertainment,Increasing,Moderate,37762.56,PhD,6.0,5668.0,5308.0,73.52,84.29,Australia,40.88,-6.35
Ceramics designer,Entertainment,Increasing,Moderate,77211.01,Master's Degree,0.0,5295.0,2152.0,45.73,61.97,Brazil,36.65,-59.36
Systems developer,Entertainment,Decreasing,Low,89501.24,Associate Degree,20.0,1214.0,6342.0,76.27,28.51,Australia,71.16,422.41
Agricultural engineer,Entertainment,Increasing,Low,98342.74,Bachelor's Degree,13.0,5559.0,8280.0,45.31,67.66,India,36.02,48.95
Cartographer,Entertainment,Increasing,High,89522.5,High School,11.0,8897.0,6656.0,43.43,71.65,Canada,45.13,-25.19
Legal secretary,Entertainment,Decreasing,Low,129433.51,Master's Degree,13.0,4749.0,3464.0,34.06,29.33,USA,70.51,-27.06
Public librarian,Entertainment,Increasing,Low,55333.8,PhD,6.0,259.0,2362.0,32.35,86.12,India,45.52,811.97
Manufacturing engineer,Entertainment,Increasing,Moderate,137770.89,Associate Degree,18.0,9222.0,9880.0,90.12,78.67,USA,62.04,7.14
"Horticulturist, amenity",Entertainment,Decreasing,Low,131858.64,Associate Degree,4.0,5720.0,6553.0,89.73,3.06,UK,71.56,14.56
"Journalist, magazine",Entertainment,Decreasing,High,99143.73,Master's Degree,3.0,2447.0,1397.0,10.37,66.1,USA,54.84,-42.91
Communications engineer,Entertainment,Decreasing,High,55470.71,PhD,18.0,8941.0,8964.0,57.64,79.52,India,60.32,0.26
Occupational hygienist,Entertainment,Increasing,Moderate,114659.83,Associate Degree,17.0,7398.0,2656.0,38.37,64.69,China,72.76,-64.1
Scientific laboratory technician,Entertainment,Increasing,High,130083.15,PhD,4.0,7896.0,6282.0,39.57,27.37,USA,45.67,-20.44
Medical physicist,Entertainment,Increasing,Moderate,99295.2,Associate Degree,19.0,3468.0,8322.0,4.97,47.62,Germany,30.84,139.97
Insurance claims handler,Entertainment,Increasing,High,60716.98,Master's Degree,6.0,9710.0,2704.0,32.66,57.22,Brazil,76.2,-72.15
Hydrographic surveyor,Entertainment,Increasing,Moderate,90074.51,Associate Degree,4.0,5031.0,7274.0,53.5,63.01,Canada,75.38,44.58
"Engineer, maintenance (IT)",Entertainment,Increasing,High,83008.03,Associate Degree,2.0,8004.0,648.0,58.98,28.95,Brazil,44.11,-91.9
Corporate treasurer,Entertainment,Increasing,High,107189.78,PhD,2.0,4942.0,274.0,48.69,79.06,USA,71.54,-94.46
Colour technologist,Entertainment,Decreasing,Low,102693.26,High School,0.0,382.0,2251.0,50.74,87.57,Germany,76.8,489.27
